1,New York, New York,8622698,8175133,0.0547,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2"
2,Los Angeles, California,3999759,3792621,0.0546,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2"
3,Chicago, Illinois,2716450,2695598,0.0077,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2"
4,Houston, Texas,2312717,2100263,0.1012,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2"
5,Phoenix, Arizona,1626078,1445632,0.1248,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2"
6,Philadelphia, Pennsylvania,1580863,1526006,0.0359,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2"
7,San Antonio, Texas,1511946,1327407,0.139,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2"
8,San Diego, California,1419516,1307402,0.0858,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2"
9,Dallas, Texas,1341075,1197816,0.1196,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2"
10,San Jose, California,1035317,945942,0.0945,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2"
11,Austin, Texas,950715,790390,0.2028,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2"
12,Jacksonville, Florida,892062,821784,0.0855,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2
13,San Francisco, California,884363,805235,0.0983,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2"
14,Columbus, Ohio,879170,787033,0.1171,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2"
15,Fort Worth, Texas,874168,741206,0.1794,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2
16,Indianapolis, Indiana,863002,820445,0.0519,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2
17,Charlotte, North Carolina,859035,731424,0.1745,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2"
18,Seattle, Washington,724745,608660,0.1907,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2"
19,Denver, Colorado,704621,600158,0.1741,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2"
20,Washington, District of Columbia,693972,601723,0.1533,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2"
21,Boston, Massachusetts,685094,617594,0.1093,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2"
22,El Paso, Texas,683577,649121,0.0531,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2"
23,Detroit, Michigan,673104,713777,?5.70%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2"
24,Nashville, Tennessee,667560,601222,0.1103,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2
25,Memphis, Tennessee,652236,646889,0.0083,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2
26,Portland, Oregon,647805,583776,0.1097,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2"
27,Oklahoma City, Oklahoma,643648,579999,0.1097,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2
28,Las Vegas, Nevada,641676,583756,0.0992,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2"
29,Louisville, Kentucky,621349,597337,0.0402,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2
30,Baltimore, Maryland,611648,620961,?1.50%,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2"
31,Milwaukee, Wisconsin,595351,594833,0.0009,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2"
